protein	reaction	direction
Q54XS1	16709	16710
Q54QQ1	17989	nan
Q54QQ1	46608	nan
Q00766	41732	nan
P34114	41732	nan
Q54RY8	11920	nan
P54673	12709	nan
P54674	12709	nan
P54675	12709	nan
P54676	12709	nan
P54677	19877	nan
Q54M40	14789	nan
Q54C64	11660	nan
Q9GPS6	12705	12706
P28178	17989	nan
P28178	46608	nan
P34102	17989	nan
P34102	46608	nan
P34103	17989	nan
P34103	46608	nan
P34100	17989	nan
P34100	46608	nan
Q552E9	17989	nan
Q552E9	46608	nan
Q55E72	11128	nan
Q02158	33179	nan
Q54UK0	14445	nan
Q54WR4	14445	nan
Q54Z25	14445	nan
Q86AV9	10832	nan
Q54K50	14445	nan
Q54SA1	14445	nan
Q86IG3	41147	41148
Q86IG3	42308	42309
Q86IG3	67744	67745
Q86HN7	17989	nan
Q86HN7	46608	nan
P54679	20852	20853
Q54X03	11140	nan
Q86B09	11140	nan
Q55G10	36163	nan
Q54YS6	15817	15818
Q54YS6	15149	15150
Q6TMK4	56136	nan
O15757	20629	nan
O15757	47004	nan
Q9XZE5	20629	nan
Q9XZE5	47004	nan
Q54RD6	20629	nan
Q54RD6	47004	nan
Q7YSW8	20629	nan
Q7YSW8	47004	nan
Q9Y0B7	20629	nan
Q9Y0B7	47004	nan
Q55GW2	10684	nan
Q55GW2	15017	nan
P37213	10756	10758
Q54SM3	16237	nan
Q9TW32	16237	nan
Q9UA41	16237	nan
Q54E95	16237	nan
Q54BM7	19573	19574
Q54TN3	48548	nan
Q54DT8	25576	nan
Q9U9A3	20629	nan
Q9U9A3	47004	nan
Q54CM0	19233	nan
Q555L5	62620	nan
Q54SE2	62620	nan
Q54UC0	17989	nan
Q54UC0	46608	nan
Q86H28	23784	nan
Q54WE5	17989	17990
Q54WE5	46608	46609
Q54IJ0	17725	nan
Q54PA9	15609	nan
Q75JN8	15609	nan
Q54QU9	15609	nan
Q8T9S7	25017	25018
Q8T9S7	20629	20630
Q8T9S7	47004	47005
Q8T9S7	10684	10685
Q8T9S7	43552	43553
Q8T9S7	43560	43561
Q8T9S7	77143	77144
Q8T9S7	77155	77156
Q54ZD0	54448	nan
P34137	10684	nan
P34138	10684	nan
P54637	10684	nan
Q55CJ3	16237	nan
Q54WH6	16237	nan
Q1ZXI0	22048	nan
Q86A85	14905	nan
Q54GJ2	17453	nan
Q54GJ2	23032	nan
Q54I60	15053	nan
Q54JC8	17129	nan
Q54J34	16853	nan
Q54J34	23920	nan
Q86L14	22192	nan
Q86L14	18445	nan
P21900	15753	nan
Q54QE4	22628	nan
Q54QE4	10792	nan
Q1ZXC8	17989	nan
Q1ZXC8	46608	nan
Q54I36	17989	nan
Q54I36	46608	nan
Q54I36	10596	nan
P20054	18633	nan
P20054	15889	nan
P20054	18029	nan
P20054	20013	nan
P20054	24296	nan
P07670	18073	18074
Q54V77	26426	nan
Q8SSS9	17989	nan
Q8SSS9	46608	nan
