Primary_ID	ChEBI Name
CHEBI:15579	(25S)-5beta-spirostan-3beta-yl beta-D-glucoside
CHEBI:15580	(2E,6E,10R,11S)-10,11-epoxy-3,7,11-trimethyltrideca-2,6-dienoic acid
CHEBI:15581	juvenile hormone II
CHEBI:15582	(2R,3S)-2,3-dimethylmalic acid
CHEBI:15583	(R)-2-ethylmalic acid
CHEBI:15584	citramalic acid
CHEBI:15586	D-citramalic acid
CHEBI:15587	(R)-3,3-dimethylmalic acid
CHEBI:15588	(R)-malate(2-)
CHEBI:15589	(S)-malate(2-)
CHEBI:15590	2,3-dimethylmalic acid
CHEBI:15591	3-ethylmalic acid
CHEBI:15592	3-isopropylmalate(2-)
CHEBI:15593	3-oxalomalate(3-)
CHEBI:15594	3-propylmalate(2-)
CHEBI:15595	malate(2-)
CHEBI:15596	sinapic acid (S)-malate ester
CHEBI:15597	(2R)-2-O-phosphonato-3-sulfonatolactate(4-)
CHEBI:15598	2-methylcitrate(3-)
CHEBI:15600	(+)-catechin
CHEBI:15601	(2R,4S)-2,4-diaminopentanoate
CHEBI:15602	(2S)-2-[(R)-1-carboxyethylamino]pentanoate
CHEBI:15603	L-leucine
CHEBI:15604	(3R)-beta-leucine
CHEBI:15605	(2S)-flavan-4-ol
CHEBI:15606	(2S)-flavanone
CHEBI:15607	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid
CHEBI:15608	(2S,3S)-2-hydroxytridecane-1,2,3-tricarboxylic acid
CHEBI:15609	N-(aminomethyl)urea
CHEBI:15610	gibberellin A12 aldehyde
CHEBI:15611	sarcosine
CHEBI:15612	trans-2-carboxybenzylidenepyruvic acid
CHEBI:15613	(3S)-3,6-diaminohexanoic acid
CHEBI:15614	(S)-3-methyl-2-oxovaleric acid
CHEBI:15615	(3S,4S)-3-hydroxytetradecane-1,3,4-tricarboxylic acid
CHEBI:15616	(3S,5S)-3,5-diaminohexanoic acid
CHEBI:15617	(2R,3Z)-phycocyanobilin
CHEBI:15618	(3Z)-phycoerythrobilin
CHEBI:15619	(3Z)-phytochromobilin
CHEBI:15620	N-ethylglycine
CHEBI:15621	(4-hydroxyphenyl)acetaldehyde
CHEBI:15622	2,3-diketogulonic acid
CHEBI:15623	3-deoxy-D-glycero-hexo-2,5-diulosonic acid
CHEBI:15624	(4S,5S)-4,5-dihydroxy-2,6-dioxohexanoic acid
CHEBI:15625	S-adenosylmethioninamine
CHEBI:15626	12(S)-HPETE
CHEBI:15627	thromboxane A2
CHEBI:15628	15(S)-HPETE
CHEBI:15629	8(R)-HPETE
CHEBI:15630	(5Z,9E,12S,14Z)-8,11,12-trihydroxyicosa-5,9,14-trienoic acid
CHEBI:15631	(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoic acid
CHEBI:15632	5(S)-HPETE
CHEBI:15633	dihydrofolic acid
CHEBI:15634	10-formyldihydrofolic acid
CHEBI:15635	(6S)-5,6,7,8-tetrahydrofolic acid
