CHEBI	BIGG
chebi:7788	orot5p
chebi:12645	fn2m2masn
chebi:32984	fn2m2masn
chebi:58650	fn2m2masn
chebi:59438	fn2m2masn
chebi:7390	fn2m2masn
chebi:62371	HC01668
chebi:62415	HC01668
chebi:8490	HC01668
chebi:11352	mi134p
chebi:18228	mi134p
chebi:19190	mi134p
chebi:43378	mi134p
chebi:58414	mi134p
chebi:810	mi134p
chebi:24108	CE2847
chebi:66940	CE2847
chebi:37642	cholcoar
chebi:58677	cholcoar
chebi:24575	hxcoa
chebi:27540	hxcoa
chebi:43306	hxcoa
chebi:5703	hxcoa
chebi:62620	hxcoa
chebi:12656	dcamp
chebi:12657	dcamp
chebi:15919	dcamp
chebi:21857	dcamp
chebi:22262	dcamp
chebi:39869	dcamp
chebi:57567	dcamp
chebi:7405	dcamp
chebi:12893	mi13p
chebi:18225	mi13p
chebi:19191	mi13p
chebi:4275	mi13p
chebi:43416	mi13p
chebi:83242	mi13p
chebi:74128	nrvnccoa
chebi:74142	nrvnccoa
chebi:172777	CE7086
chebi:136650	estriolglc
chebi:766	estriolglc
chebi:24007	ahandrostanglc
chebi:37451	ahandrostanglc
chebi:4908	ahandrostanglc
chebi:11665	M00625
chebi:1311	M00625
chebi:17703	M00625
chebi:19816	M00625
chebi:76591	M00625
chebi:11665	xol27oh
chebi:1311	xol27oh
chebi:17703	xol27oh
chebi:19816	xol27oh
chebi:76591	xol27oh
chebi:71308	mococdp
chebi:71353	mococdp
chebi:133451	CE0955
chebi:20736	CE0955
chebi:2205	CE0955
chebi:28158	CE0955
chebi:48825	M00979
chebi:87476	M00979
chebi:11350	mi1345p
chebi:11360	mi1345p
chebi:16783	mi1345p
chebi:19188	mi1345p
chebi:57895	mi1345p
chebi:808	mi1345p
chebi:2480	adocbi
chebi:13286	ctp
chebi:17677	ctp
chebi:23522	ctp
chebi:3285	ctp
chebi:37563	ctp
chebi:41675	ctp
chebi:58231	ctp
chebi:11446	25dhpp
chebi:19368	25dhpp
chebi:29114	25dhpp
chebi:58614	25dhpp
chebi:59545	25dhpp
chebi:59546	25dhpp
chebi:927	25dhpp
chebi:11446	25drapp
chebi:19368	25drapp
chebi:29114	25drapp
chebi:58614	25drapp
chebi:59545	25drapp
chebi:59546	25drapp
chebi:927	25drapp
chebi:84095	dmhptcrn
chebi:84843	dmhptcrn
chebi:86054	dmhptcrn
chebi:10066	xtsn
chebi:15323	xtsn
chebi:18107	xtsn
chebi:27327	xtsn
chebi:22556	andrstrnglc
chebi:2715	andrstrnglc
chebi:28832	andrstrnglc
chebi:1654	3otdcoa
chebi:20183	3otdcoa
chebi:28726	3otdcoa
chebi:62543	3otdcoa
chebi:1148	2hb
chebi:50613	2hb
chebi:64552	2hb
chebi:675746	2hb
chebi:73709	2hb
chebi:11756	aacoa
chebi:13706	aacoa
chebi:15345	aacoa
chebi:22173	aacoa
chebi:2392	aacoa
chebi:41333	aacoa
chebi:57286	aacoa
chebi:87054	M00960
chebi:34310	xol24oh
chebi:51341	pristcoa
chebi:77250	pristcoa
chebi:12726	ap4a
chebi:12729	ap4a
chebi:17422	ap4a
chebi:21998	ap4a
chebi:58141	ap4a
chebi:7875	ap4a
chebi:23095	dcholcoa
chebi:28701	dcholcoa
chebi:3589	dcholcoa
chebi:62989	dcholcoa
